no;intake;matric;m/f;name;class;ic;birth date;register;register;end;ic parents;status
1;2016;JA0101;F;Janet;7w/ict;150101101002;2015-01-01;1994-12-18;2016-02-02;0000-00-00;120111001;student
2;2016;DA0102;M;Darren;7w/ict;150102101002;2015-01-02;1994-12-19;2016-02-02;0000-00-00;120111002;student
3;2016;SO0103;F;Sophie;7w/ict;150103101002;2015-01-03;1993-12-20;2016-02-02;0000-00-00;120111003;student
4;2016;RA0104;M;Ravi;7w/ict;150104101002;2015-01-04;1994-12-21;2016-02-02;0000-00-00;120111004;student
5;2016;DA0105;F;Daisy;7w/ict;150105101002;2015-01-05;1993-12-22;2016-02-02;0000-00-00;120111005;student
6;2016;TO0106;M;Tom;7w/ict;150106101002;2015-01-06;1993-12-22;2016-02-02;0000-00-00;120111006;student
7;2016;BR0107;M;Brett;8r/ict;150107101002;2015-01-07;1994-10-11;2016-02-02;0000-00-00;120111007;student
8;2016;JO0108;M;John;8r/ict;150108101002;2015-01-08;1994-12-03;2016-02-02;0000-00-00;120111008;student
9;2016;CE0109;F;Celia;8r/ict;150109101002;2015-01-09;1995-02-20;2016-02-02;0000-00-00;120111009;student
10;2016;LE0110;M;Leo;8r/ict;150110101002;2015-01-10;1994-09-21;2016-02-02;0000-00-00;120111010;student
11;2016;SH0111;F;Shankunthala;8r/ict;150111101002;2015-01-11;1995-06-14;2016-02-02;0000-00-00;120111011;student
12;2016;SA0112;F;Sally;9m/ict;150112101002;2015-01-12;1995-12-18;2016-02-02;0000-00-00;120111012;student
13;2016;JA0113;F;Jane;9m/ict;150113101002;2015-01-13;1995-09-12;2016-02-02;0000-00-00;120111013;student
14;2016;PA0114;M;Paul;9m/ict;150114101002;2015-01-14;1996-04-20;2016-02-02;0000-00-00;120111014;student
15;2016;RA0115;F;Rachael;9m/ict;150115101002;2015-01-15;1995-12-11;2016-02-02;0000-00-00;120111015;student
16;2016;MA0116;M;Martin;9m/ict;150116101002;2015-01-16;1996-04-02;2016-02-02;0000-00-00;120111016;student
